0	507
1	2571
2	7492
3	7397
4	7643
5	2765
6	1357
7	561
8	384
9	136
10	80
11	39
12	14
13	22
14	6
15	5
0	486
1	2597
2	7487
3	7325
4	7593
5	2840
6	1435
7	586
8	332
9	129
10	70
11	41
12	28
13	18
14	6
15	5
16	1
0	484
1	2569
2	7486
3	7368
4	7613
5	2944
6	1365
7	532
8	308
9	107
10	80
11	56
12	33
13	17
14	10
15	6
16	1
0	503
1	2557
2	7574
3	7511
4	7546
5	2758
6	1359
7	561
8	329
9	109
10	99
11	26
12	27
13	12
14	7
15	1
0	487
1	2550
2	7646
3	7397
4	7622
5	2796
6	1341
7	524
8	345
9	110
10	76
11	39
12	21
13	13
14	9
15	4
0	470
1	2562
2	7334
3	7483
4	7715
5	2831
6	1373
7	556
8	337
9	141
10	74
11	51
12	27
13	16
14	6
15	3
0	471
1	2623
2	7591
3	7372
4	7712
5	2702
6	1346
7	544
8	337
9	118
10	71
11	39
12	20
13	20
14	10
15	3
