0.0115305	0.0251281	32541
0.0115305	0.0251889	32541
0.0115305	0.0252104	32541
0.0115305	0.0252201	32541
0.0115305	0.0251806	32541
0.0115305	0.0251387	32541
0.0115305	0.025152	32541
0.0115305	0.025186	32541
0.0115305	0.0252609	32541
0.0115305	0.0251028	32541
0.0115305	0.0252794	32541
0.0122397	0.0262034	31779
0.0122397	0.0261952	31779
0.0122397	0.0262075	31779
0.0115305	0.0252912	32541
0.0115305	0.0252214	32541
0.0115305	0.0252279	32541
0.0115305	0.0252232	32541
0.0122397	0.0260484	31779
0.0122397	0.0260981	31778
