0.0115305	0.00569168	32541
0.0115305	0.00569281	32541
0.0115305	0.00570673	32541
0.0115305	0.00570328	32541
0.0115305	0.00570059	32541
0.0115305	0.00569929	32541
0.0115305	0.00570604	32541
0.0115305	0.0057085	32541
0.0115305	0.00570136	32541
0.0115305	0.0056938	32541
0.0115305	0.00571992	32541
0.0122397	0.00587149	31779
0.0122397	0.00587552	31779
0.0122397	0.00586168	31779
0.0115305	0.00572953	32541
0.0115305	0.00570201	32541
0.0115305	0.00569857	32541
0.0115305	0.00570057	32541
0.0122397	0.00584726	31779
0.0122397	0.0058559	31778
