0	10117
2	349156
3	139133
4	2117677
5	2462289
6	1955124
7	2247456
8	732774
9	887493
10	128387
11	68799
12	9383
13	2239
14	731
15	253
16	77
17	16
18	6
19	1
0	9963
2	348571
3	139336
4	2118133
5	2461658
6	1956289
7	2246036
8	731907
9	889259
10	128163
11	68732
12	9557
13	2363
14	766
15	252
16	96
17	20
18	6
19	3
21	1
0	10139
2	349525
3	138852
4	2116556
5	2461716
6	1957336
7	2246244
8	731059
9	890265
10	127925
11	68511
12	9530
13	2314
14	771
15	257
16	85
17	16
18	8
19	2
0	10132
2	348320
3	138630
4	2116183
5	2463035
6	1956982
7	2246346
8	732357
9	889360
10	128069
11	68843
12	9381
13	2353
14	749
15	255
16	90
17	20
18	4
19	2
