0	333872
1	711878
2	1836238
3	2416092
4	2546471
5	1553111
6	978489
7	470235
8	178662
9	76331
10	7565
11	1782
12	301
13	67
14	11
15	5
16	1
0	332945
1	713085
2	1833487
3	2420012
4	2545938
5	1552868
6	978635
7	469714
8	178062
9	76632
10	7569
11	1835
12	263
13	54
14	9
15	3
0	333460
1	713715
2	1832387
3	2418592
4	2548202
5	1553095
6	979157
7	469556
8	177346
9	75956
10	7521
11	1784
12	282
13	45
14	10
15	3
0	333288
1	713125
2	1833869
3	2418401
4	2549118
5	1553073
6	977156
7	468836
8	178469
9	76034
10	7516
11	1842
12	308
13	61
14	8
15	6
16	1
