0	197
1	2032
2	7968
3	8439
4	8642
5	3363
6	1451
7	555
8	358
9	105
10	70
11	25
12	24
13	13
14	12
15	5
16	6
17	2
19	1
0	208
1	2085
2	7890
3	8281
4	8791
5	3354
6	1423
7	599
8	369
9	105
10	74
11	34
12	25
13	15
14	10
15	2
16	2
18	1
0	207
1	2013
2	8022
3	8148
4	8796
5	3427
6	1478
7	605
8	301
9	117
10	63
11	35
12	26
13	9
14	10
15	7
16	4
17	1
0	222
1	2073
2	7961
3	8291
4	8742
5	3381
6	1459
7	573
8	322
9	111
10	53
11	30
12	14
13	20
14	5
15	5
16	1
17	6
0	208
1	2083
2	8039
3	8252
4	8644
5	3395
6	1466
7	589
8	340
9	102
10	66
11	28
12	23
13	17
14	11
15	3
16	2
17	1
0	218
1	2014
2	7989
3	8396
4	8595
5	3378
6	1464
7	600
8	329
9	142
10	66
11	27
12	17
13	17
14	7
15	2
16	5
17	2
19	1
0	235
1	2056
2	7937
3	8141
4	8777
5	3468
6	1453
7	592
8	347
9	130
10	73
11	23
12	12
13	13
14	6
15	2
16	2
18	1
19	1
0	209
1	2016
2	7889
3	8196
4	8822
5	3367
6	1536
7	623
8	322
9	134
10	62
11	38
12	24
13	11
14	7
15	5
16	4
17	3
18	1
0	238
1	2111
2	7816
3	8328
4	8813
5	3335
6	1472
7	559
8	315
9	111
10	81
11	43
12	17
13	14
14	9
15	3
16	2
17	1
