2	443
3	300
4	8428
5	13405
6	5305
7	2454
8	1710
9	638
10	343
11	116
12	63
13	27
14	16
15	9
16	7
17	2
19	2
2	540
3	291
4	8363
5	13301
6	5308
7	2515
8	1722
9	620
10	332
11	114
12	87
13	41
14	18
15	4
16	6
17	2
18	3
19	1
2	477
3	319
4	8262
5	13339
6	5427
7	2542
8	1701
9	609
10	350
11	113
12	63
13	27
14	24
15	8
16	3
17	3
18	2
2	503
3	326
4	8211
5	13349
6	5456
7	2527
8	1724
9	595
10	315
11	115
12	80
13	33
14	16
15	7
16	5
17	4
18	1
19	2
2	501
3	341
4	8376
5	13379
6	5277
7	2465
8	1702
9	621
10	338
11	123
12	84
13	34
14	12
15	10
16	3
17	3
2	471
3	325
4	8390
5	13263
6	5269
7	2592
8	1750
9	603
10	349
11	118
12	77
13	35
14	14
15	5
16	2
17	2
18	1
19	1
20	1
21	1
2	526
3	290
4	8282
5	13305
6	5404
7	2512
8	1722
9	650
10	337
11	120
12	69
13	27
14	14
15	3
16	1
17	7
2	502
3	324
4	8269
5	13280
6	5361
7	2608
8	1749
9	598
10	317
11	115
12	83
13	34
14	15
15	4
16	2
17	7
19	1
2	474
3	304
4	8354
5	13304
6	5448
7	2514
8	1664
9	620
10	290
11	135
12	86
13	37
14	13
15	11
16	3
17	5
18	3
19	1
20	1
21	1
