0	16
1	1730
2	43068
3	281649
4	924898
5	1521354
6	1729092
7	1589481
8	1347365
9	1053228
10	864965
11	640274
12	454123
13	342928
14	159155
15	86501
16	36789
17	19258
18	8437
19	4011
20	1623
21	679
22	281
23	118
24	54
25	23
26	7
27	3
29	1
0	16
1	1719
2	43003
3	281908
4	926052
5	1521858
6	1728191
7	1588509
8	1348194
9	1052087
10	864950
11	638243
12	454712
13	344216
14	158980
15	86839
16	37099
17	19180
18	8431
19	3992
20	1755
21	702
22	265
23	120
24	50
25	18
26	14
27	7
28	1
0	10
1	1662
2	43066
3	282242
4	925813
5	1519306
6	1729095
7	1588977
8	1348865
9	1052719
10	865254
11	639665
12	452608
13	344373
14	158891
15	86652
16	37155
17	19378
18	8508
19	4035
20	1698
21	692
22	257
23	112
24	41
25	27
26	6
27	3
28	1
0	8
1	1747
2	43372
3	282578
4	922784
5	1519580
6	1729494
7	1588616
8	1347851
9	1054153
10	865592
11	639966
12	453854
13	344632
14	158576
15	86591
16	37025
17	19326
18	8549
19	3941
20	1693
21	705
22	276
23	119
24	55
25	13
26	11
27	2
28	1
29	1
30	1
