0	11760
2	759483
3	216561
4	4096183
5	2778941
6	1573676
7	563620
8	581354
9	211601
10	134690
11	105169
12	30237
13	38577
14	4390
15	4240
16	505
17	109
18	13
19	2
20	1
0	11956
2	757744
3	215223
4	4096108
5	2779250
6	1575633
7	564385
8	581461
9	211431
10	134824
11	105514
12	30099
13	38287
14	4461
15	4129
16	488
17	101
18	16
20	1
0	11836
2	758408
3	215429
4	4097976
5	2777765
6	1574673
7	564608
8	581793
9	211001
10	134927
11	105566
12	29960
13	38244
14	4326
15	3993
16	494
17	97
18	14
19	1
0	11970
2	758922
3	216518
4	4095258
5	2778098
6	1574364
7	563926
8	581631
9	211672
10	135466
11	105696
12	29932
13	38427
14	4506
15	4114
16	487
17	106
18	14
19	4
0	11728
2	757900
3	215410
4	4097485
5	2779221
6	1572408
7	563632
8	582428
9	212576
10	134865
11	105875
12	30152
13	38207
14	4543
15	4076
16	496
17	94
18	13
19	2
0	11769
2	758722
3	215711
4	4097347
5	2779709
6	1574079
7	564498
8	580137
9	211116
10	135546
11	105193
12	30052
13	38264
14	4343
15	4033
16	455
17	116
18	19
19	2
0	11911
2	757212
3	215521
4	4094650
5	2783381
6	1571812
7	564094
8	581135
9	212579
10	135433
11	105469
12	30067
13	38751
14	4376
15	4100
16	483
17	109
18	24
19	4
0	12014
2	757363
3	216423
4	4095330
5	2781636
6	1573362
7	564218
8	581357
9	211839
10	134828
11	105386
12	30002
13	38318
14	4352
15	4103
16	481
17	88
18	10
19	1
0	11848
2	759719
3	215913
4	4096330
5	2777005
6	1572584
7	565290
8	582364
9	211901
10	135067
11	105351
12	30202
13	38441
14	4392
15	4106
16	474
17	108
18	14
19	1
20	1
