0	575049
1	1001575
2	2224919
3	2412675
4	2481894
5	1176875
6	730384
7	319680
8	131173
9	51937
10	3868
11	944
12	114
13	21
14	3
0	574769
1	1001505
2	2224987
3	2409935
4	2485138
5	1174911
6	731154
7	319659
8	132095
9	51919
10	4017
11	900
12	97
13	20
14	4
16	1
0	574464
1	1000517
2	2225798
3	2410262
4	2485230
5	1175064
6	731191
7	319864
8	131759
9	51797
10	4104
11	931
12	103
13	26
14	1
0	573775
1	1001958
2	2226778
3	2410584
4	2484591
5	1176498
6	729433
7	319304
8	131574
9	51608
10	4018
11	864
12	111
13	14
14	1
