0.0115305	0.000338035	32541	11
0.0115305	6.14609e-05	32541	2
0.0115305	0.000215113	32541	7
0.0115305	0.000122922	32541	4
0.0115305	0.000491687	32541	16
0.0115305	0.000184383	32541	6
0.0115305	0.000184383	32541	6
0.0115305	0.000276574	32541	9
0.0115305	0.000122922	32541	4
0.0115305	0.000184383	32541	6
0.0115305	0.000215113	32541	7
0.0122397	0.000409075	31779	13
0.0122397	0.000188804	31779	6
0.0122397	0.000283206	31779	9
0.0115305	0.000245844	32541	8
0.0115305	0.000307305	32541	10
0.0115305	0.000153652	32541	5
0.0115305	0.000184383	32541	6
0.0122397	0.000377608	31779	12
0.0122397	0.000440556	31778	14
