2	250
3	213
4	5688
5	12735
6	5958
7	3124
8	2108
9	854
10	461
11	177
12	105
13	46
14	25
15	16
16	6
17	6
18	3
19	3
22	1
2	227
3	200
4	5869
5	12554
6	5887
7	3217
8	2113
9	846
10	450
11	199
12	107
13	50
14	30
15	13
16	5
17	6
18	2
19	3
20	1
2	237
3	189
4	5838
5	12748
6	5871
7	3120
8	2069
9	835
10	490
11	174
12	120
13	38
14	27
15	11
16	4
17	3
18	1
19	4
2	250
3	183
4	5893
5	12808
6	5919
7	2998
8	2048
9	850
10	447
11	172
12	105
13	52
14	22
15	12
16	4
17	11
18	4
20	1
2	226
3	180
4	5953
5	12674
6	5896
7	3163
8	2006
9	837
10	435
11	192
12	111
13	46
14	19
15	16
16	7
17	9
18	4
19	3
20	1
