2	25
3	93
4	10768
5	291430
6	890679
7	1398161
8	1463042
9	1373100
10	1271053
11	879287
12	695014
13	859812
14	469706
15	849855
16	265374
17	234816
18	83048
19	47643
20	19130
21	5859
22	1962
23	693
24	294
25	145
26	53
27	31
28	19
29	12
30	5
32	2
33	1
2	23
3	86
4	10495
5	291821
6	890746
7	1397791
8	1466011
9	1375867
10	1272118
11	877634
12	692799
13	857800
14	469489
15	849785
16	264757
17	234419
18	83347
19	47719
20	19296
21	5859
22	1989
23	721
24	273
25	123
26	63
27	36
28	24
29	10
30	5
31	1
32	3
34	1
2	17
3	73
4	10549
5	290861
6	890611
7	1401108
8	1464629
9	1373450
10	1272096
11	880997
12	693226
13	856631
14	469466
15	848288
16	264903
17	234761
18	83570
19	47691
20	19093
21	5893
22	1981
23	653
24	288
25	132
26	69
27	40
28	14
29	9
30	5
31	3
32	4
