0.0243389	0.0568466	11111111	631629
0.0243389	0.0567788	11111111	630875
0.0243389	0.0568454	11111112	631616
0.0243389	0.0567775	11111111	630861
0.0243389	0.0568135	11111111	631261
0.0243389	0.0569745	11111111	633050
0.0243389	0.0568161	11111111	631290
0.0243389	0.0568056	11111111	631173
0.0243389	0.0567037	11111111	630041
0.0311538	0.117353	11111111	1.30393e+06
0.0311538	0.117279	11111111	1.3031e+06
0.0311538	0.117528	11111111	1.30587e+06
0.0311538	0.11748	11111111	1.30533e+06
0.0311538	0.117382	11111111	1.30425e+06
0.0311538	0.117399	11111111	1.30444e+06
0.0311538	0.117187	11111111	1.30208e+06
0.0311538	0.117282	11111111	1.30313e+06
0.0311538	0.117357	11111112	1.30397e+06
0.0398768	0.215556	11111111	2.39506e+06
0.0398768	0.215864	11111111	2.39849e+06
0.0398768	0.215639	11111112	2.39599e+06
0.0398768	0.215804	11111111	2.39782e+06
0.0398768	0.215538	11111111	2.39487e+06
0.0398768	0.215487	11111111	2.3943e+06
0.0398768	0.215708	11111111	2.39676e+06
0.0398768	0.21569	11111111	2.39656e+06
0.0398768	0.215759	11111111	2.39732e+06
