0	73
1	12839
2	312719
3	1151633
4	2575554
5	2576022
6	1745904
7	1119405
8	654833
9	374237
10	224415
11	129879
12	80692
13	51359
14	34243
15	21587
16	14873
17	10816
18	7671
19	5086
20	3378
21	2151
22	1051
23	475
24	126
25	47
26	25
27	10
28	3
29	3
30	1
32	1
0	53
1	12880
2	313385
3	1153055
4	2574694
5	2577009
6	1743464
7	1121365
8	654428
9	373289
10	225085
11	129430
12	80978
13	50602
14	34046
15	21661
16	15023
17	10884
18	7485
19	5086
20	3323
21	2078
22	1086
23	499
24	138
25	51
26	17
27	7
28	4
29	2
30	3
32	1
0	77
1	12866
2	312495
3	1150578
4	2573374
5	2578180
6	1746268
7	1122241
8	655043
9	373243
10	223562
11	129524
12	80292
13	50500
14	34536
15	21943
16	15196
17	10954
18	7543
19	5181
20	3356
21	2306
22	1133
23	501
24	123
25	58
26	23
27	7
28	3
29	2
30	3
0	72
1	12757
2	313055
3	1151597
4	2574376
5	2575433
6	1747100
7	1121138
8	655603
9	372785
10	224368
11	129602
12	80547
13	50617
14	34398
15	21736
16	15132
17	10661
18	7595
19	5088
20	3477
21	2167
22	1082
23	504
24	137
25	42
26	22
27	11
28	6
29	2
30	1
