0.0116057	0.00083889	11111111	9321
0.0190148	0.00877194	11111111	97466
0.0190148	0.00881838	11111111	97982
0.0190148	0.00881154	11111111	97906
0.0243389	0.0264315	11111111	293683
0.0243389	0.0265176	11111111	294640
0.0243389	0.0264161	11111111	293512
0.0243389	0.0265564	11111112	295071
0.0243389	0.0264688	11111111	294098
0.0311538	0.0729571	11111111	810634
0.0311538	0.0728131	11111112	809034
0.0311538	0.0729842	11111111	810935
0.0311538	0.0728545	11111111	809494
0.0398768	0.172136	11111112	1.91262e+06
0.0398768	0.171917	11111111	1.91019e+06
0.0398768	0.171874	11111111	1.90971e+06
