0	740736
1	1533904
2	2979926
3	2376309
4	2129316
5	723759
6	340132
7	145396
8	85436
9	31117
10	16279
11	6567
12	1669
13	468
14	66
15	30
16	1
0	742508
1	1534113
2	2981331
3	2373838
4	2127895
5	724217
6	340161
7	144844
8	85951
9	31275
10	16198
11	6621
12	1647
13	425
14	58
15	25
16	3
17	1
0	740656
1	1534484
2	2980995
3	2376590
4	2128597
5	723523
6	339113
7	145016
8	85660
9	31242
10	16430
11	6560
12	1682
13	466
14	65
15	26
16	4
17	1
18	1
0	739467
1	1534778
2	2981019
3	2376193
4	2130882
5	722272
6	340199
7	144377
8	85511
9	31277
10	16254
11	6645
12	1707
13	426
14	69
15	28
16	6
17	1
