0.0102332	0.000294455	33961	10
0.0102332	0.000353346	33961	12
0.0102332	0.000235557	33962	8
0.0102332	0.000176673	33961	6
0.0102332	0.000323901	33961	11
0.0102332	0.000294455	33961	10
0.0102332	0.000382792	33961	13
0.0102332	0.000500574	33961	17
0.0102332	0.000323891	33962	11
0.0102332	0.000294455	33961	10
0.0102332	0.000323901	33961	11
0.0102332	0.000235564	33961	8
0.0102332	0.000294455	33961	10
0.0102332	0.000294455	33961	10
0.0102332	0.000323901	33961	11
0.0102332	0.000353346	33961	12
0.0102332	0.000382792	33961	13
