0.0108625	0.00121811	16634000	1.14107e+06
0.0108625	0.00122719	16634000	1.1392e+06
0.0102332	0.000910456	16980500	80218
0.0102332	0.00104667	16980500	1.03363e+06
0.0102332	0.00105262	16980500	1.14161e+06
0.0108625	0.00128215	16634500	1.82503e+06
0.0108625	0.00122528	16634500	1.21982e+06
0.0108625	0.00115248	16634500	666467
0.0108625	0.00121446	16634500	1.16309e+06
0.0108625	0.00124236	16634500	1.45696e+06
0.0108625	0.00116469	16634500	711322
0.0102332	0.000995554	16980500	666555
0.0108625	0.00142455	16634000	2.57798e+06
