0	104692
1	831456
2	2832307
3	2765466
4	2607588
5	1135751
6	452645
7	203921
8	95124
9	39289
10	19712
11	9832
12	5219
13	3209
14	2018
15	1128
16	753
17	506
18	311
19	151
20	27
21	5
23	1
0	104301
1	833560
2	2826899
3	2767995
4	2609439
5	1135985
6	452778
7	202651
8	95317
9	39312
10	19810
11	9639
12	5328
13	3205
14	1949
15	1191
16	816
17	497
18	295
19	110
20	29
21	4
23	1
0	104966
1	832768
2	2827347
3	2768912
4	2608467
5	1134840
6	453175
7	203248
8	95352
9	39491
10	19604
11	9564
12	5308
13	3208
14	2012
15	1185
16	758
17	464
18	290
19	123
20	22
21	6
22	1
0	104544
1	832160
2	2828987
3	2769466
4	2606614
5	1135269
6	454482
7	202911
8	94877
9	39537
10	19341
11	9570
12	5225
13	3204
14	2087
15	1167
16	729
17	488
18	282
19	141
20	24
21	4
22	2
24	1
0	105285
1	831254
2	2830792
3	2770588
4	2604942
5	1134640
6	453008
7	203463
8	95269
9	39174
10	19436
11	9776
12	5227
13	3239
14	2096
15	1220
16	743
17	495
18	308
19	130
20	24
21	1
22	1
